normalized_page_path,normalized_page_url,current_gsc_clicks,previous_gsc_clicks,current_gsc_impressions,previous_gsc_impressions,current_ga4_sessions,previous_ga4_sessions,current_ga4_conversions,previous_ga4_conversions,click_delta,impression_delta,sessions_delta,conversions_delta,mover_score,movement_direction
(not set),,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,21.599999999999998,up
/blog/artificial-activization-with-calcium-ionophore,https://international-surrogacy.com/blog/artificial-activization-with-calcium-ionophore,2.0,3.0,1379.0,1608.0,14.0,7.0,0.0,0.0,-1.0,-229.0,7.0,0.0,-21.2,down
/test-page,https://international-surrogacy.com/test-page,0.0,0.0,5.0,2.0,0.0,4.0,0.0,2.0,0.0,3.0,-4.0,-2.0,-20.9,down
/book-your-surrogacy-call,https://international-surrogacy.com/book-your-surrogacy-call,0.0,0.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,1.0,2.0,2.0,20.7,up
/blog/cheapest-surrogacy-in-usa,https://international-surrogacy.com/blog/cheapest-surrogacy-in-usa,5.0,5.0,1273.0,1467.0,5.0,7.0,0.0,0.0,0.0,-194.0,-2.0,0.0,-20.000000000000004,down
/blog/michelle-buteau,https://international-surrogacy.com/blog/michelle-buteau,1.0,6.0,255.0,412.0,8.0,14.0,0.0,0.0,-5.0,-157.0,-6.0,0.0,-19.500000000000004,down
/blog/robbie-williams,https://international-surrogacy.com/blog/robbie-williams,0.0,3.0,183.0,347.0,0.0,5.0,0.0,0.0,-3.0,-164.0,-5.0,0.0,-19.1,down
/blog/why-are-women-so-mean-to-infertile-women,https://international-surrogacy.com/blog/why-are-women-so-mean-to-infertile-women,4.0,3.0,149.0,347.0,4.0,3.0,0.0,0.0,1.0,-198.0,1.0,0.0,-19.1,down
/deutsch,https://international-surrogacy.com/deutsch,30.0,38.0,727.0,852.0,63.0,69.0,5.0,5.0,-8.0,-125.0,-6.0,0.0,-17.5,down
/blog/10-reasons-people-use-a-surrogate-mother,https://international-surrogacy.com/blog/10-reasons-people-use-a-surrogate-mother,0.0,0.0,17.0,176.0,1.0,3.0,0.0,0.0,0.0,-159.0,-2.0,0.0,-16.5,down
/blog/5-email-subject-lines,https://international-surrogacy.com/blog/5-email-subject-lines,0.0,0.0,12.0,173.0,1.0,0.0,0.0,0.0,0.0,-161.0,1.0,0.0,-15.8,down
/blog,https://international-surrogacy.com/blog,2.0,0.0,175.0,153.0,24.0,19.0,1.0,3.0,2.0,22.0,5.0,-2.0,-15.5,down
/surrogacy,https://international-surrogacy.com/surrogacy,3.0,2.0,616.0,785.0,11.0,7.0,0.0,0.0,1.0,-169.0,4.0,0.0,-15.300000000000004,down
/blog/when-to-stop-ivf-and-consider-surrogacy,https://international-surrogacy.com/blog/when-to-stop-ivf-and-consider-surrogacy,1.0,0.0,115.0,0.0,11.0,0.0,0.0,0.0,1.0,115.0,11.0,0.0,15.2,up
/blog/pros-and-cons-of-surrogacy,https://international-surrogacy.com/blog/pros-and-cons-of-surrogacy,0.0,0.0,816.0,966.0,0.0,0.0,0.0,0.0,0.0,-150.0,0.0,0.0,-15.0,down
/surrogacy/surrogates,https://international-surrogacy.com/surrogacy/surrogates,0.0,1.0,510.0,645.0,2.0,5.0,0.0,0.0,-1.0,-135.0,-3.0,0.0,-14.8,down
/surrogacy-boston,https://international-surrogacy.com/surrogacy-boston,2.0,0.0,797.0,658.0,0.0,0.0,0.0,0.0,2.0,139.0,0.0,0.0,14.700000000000001,up
/blog/celebrity-housewife,https://international-surrogacy.com/blog/celebrity-housewife,2.0,2.0,1788.0,1827.0,1.0,2.0,0.0,1.0,0.0,-39.0,-1.0,-1.0,-14.2,down
/blog/can-i-be-a-surrogate-after-tubal-ligation,https://international-surrogacy.com/blog/can-i-be-a-surrogate-after-tubal-ligation,0.0,0.0,595.0,461.0,1.0,0.0,0.0,0.0,0.0,134.0,1.0,0.0,13.700000000000001,up
/blog/it-s-a-boy-chrissy-teigen-and-john-legend-welcome-fourth-child-via-surrogacy,https://international-surrogacy.com/blog/it-s-a-boy-chrissy-teigen-and-john-legend-welcome-fourth-child-via-surrogacy,0.0,1.0,159.0,286.0,0.0,2.0,0.0,0.0,-1.0,-127.0,-2.0,0.0,-13.700000000000001,down
/blog/surrogacy-in-florida,https://international-surrogacy.com/blog/surrogacy-in-florida,0.0,1.0,13.0,143.0,0.0,1.0,0.0,0.0,-1.0,-130.0,-1.0,0.0,-13.700000000000001,down
/blog/steps-to-success-preparation-for-ivf-egg-retrieval,https://international-surrogacy.com/blog/steps-to-success-preparation-for-ivf-egg-retrieval,0.0,0.0,139.0,3.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,13.600000000000001,up
/blog/breastfeeding-and-surrogacy,https://international-surrogacy.com/blog/breastfeeding-and-surrogacy,3.0,1.0,781.0,934.0,4.0,0.0,0.0,0.0,2.0,-153.0,4.0,0.0,-13.3,down
/blog/what-is-a-surrogate,https://international-surrogacy.com/blog/what-is-a-surrogate,0.0,0.0,813.0,680.0,1.0,1.0,0.0,0.0,0.0,133.0,0.0,0.0,13.3,up
