normalized_page_path,normalized_page_url,inspection_verdict,inspection_coverage_state,inspection_indexing_state,inspection_page_fetch_state,inspection_robots_txt_state,inspection_google_canonical,inspection_user_canonical,inspection_last_crawl_time,inspection_error_message,has_issue,issue_types,recommended_action,recommended_action_text,source_type
/blog/offer-ivf-benefits,https://international-surrogacy.com/blog/offer-ivf-benefits,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/offer-ivf-benefits,https://international-surrogacy.com/blog/offer-ivf-benefits,2026-01-03T20:25:43Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/pcos-everything-you-need-to-know-about-polycystic-ovary-syndrome,https://international-surrogacy.com/blog/pcos-everything-you-need-to-know-about-polycystic-ovary-syndrome,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/pcos-everything-you-need-to-know-about-polycystic-ovary-syndrome,https://international-surrogacy.com/blog/pcos-everything-you-need-to-know-about-polycystic-ovary-syndrome,2026-02-05T17:43:44Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/pinterest-provides-up-to-20k-for-surrogacy-assistance,https://international-surrogacy.com/blog/pinterest-provides-up-to-20k-for-surrogacy-assistance,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/pinterest-provides-up-to-20k-for-surrogacy-assistance,https://international-surrogacy.com/blog/pinterest-provides-up-to-20k-for-surrogacy-assistance,2026-03-05T00:27:32Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/safety-ukraine-2026,https://international-surrogacy.com/blog/safety-ukraine-2026,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/safety-ukraine-2026,https://international-surrogacy.com/blog/safety-ukraine-2026,2026-02-23T12:34:43Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/skin-to-skin-contact-after-birth,https://international-surrogacy.com/blog/skin-to-skin-contact-after-birth,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/skin-to-skin-contact-after-birth,https://international-surrogacy.com/blog/skin-to-skin-contact-after-birth,2025-12-26T21:18:58Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/surrogacy-contracts-unveiled,https://international-surrogacy.com/blog/surrogacy-contracts-unveiled,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/surrogacy-contracts-unveiled,https://international-surrogacy.com/blog/surrogacy-contracts-unveiled,2026-03-23T09:14:03Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/surrogacy-insurance,https://international-surrogacy.com/blog/surrogacy-insurance,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/surrogacy-insurance,https://international-surrogacy.com/blog/surrogacy-insurance,2026-02-17T17:56:21Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/the-benefits-of-older-parents,https://international-surrogacy.com/blog/the-benefits-of-older-parents,NEUTRAL,Not found (404),INDEXING_STATE_UNSPECIFIED,NOT_FOUND,ALLOWED,,,2026-03-31T00:51:40Z,,True,['verdict_issue'],no_action,No action until more reliable data is available.,inspection
/blog/the-real-talk-on-having-a-baby-after-35,https://international-surrogacy.com/blog/the-real-talk-on-having-a-baby-after-35,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/the-real-talk-on-having-a-baby-after-35,https://international-surrogacy.com/blog/the-real-talk-on-having-a-baby-after-35,2026-02-12T01:23:38Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/things-your-doctors-may-not-tell-you,https://international-surrogacy.com/blog/things-your-doctors-may-not-tell-you,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/things-your-doctors-may-not-tell-you,https://international-surrogacy.com/blog/things-your-doctors-may-not-tell-you,2025-12-10T09:58:23Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
